patch_id,row,col,x_min,y_min,x_max,y_max,overlap_count
12,2,2,0.4,0.4,0.6,0.6,1269.0
7,1,2,0.4,0.2,0.6,0.4,1245.0
11,2,1,0.2,0.4,0.4,0.6,1174.0
13,2,3,0.6,0.4,0.8,0.6,1170.0
6,1,1,0.2,0.2,0.4,0.4,1155.0
8,1,3,0.6,0.2,0.8,0.4,1154.0
17,3,2,0.4,0.6,0.6,0.8,1126.0
16,3,1,0.2,0.6,0.4,0.8,1054.0
18,3,3,0.6,0.6,0.8,0.8,1049.0
2,0,2,0.4,0.0,0.6,0.2,814.0
3,0,3,0.6,0.0,0.8,0.2,767.0
1,0,1,0.2,0.0,0.4,0.2,765.0
14,2,4,0.8,0.4,1.0,0.6,563.0
10,2,0,0.0,0.4,0.2,0.6,561.0
9,1,4,0.8,0.2,1.0,0.4,560.0
5,1,0,0.0,0.2,0.2,0.4,553.0
19,3,4,0.8,0.6,1.0,0.8,514.0
15,3,0,0.0,0.6,0.2,0.8,505.0
22,4,2,0.4,0.8,0.6,1.0,456.0
21,4,1,0.2,0.8,0.4,1.0,441.0
23,4,3,0.6,0.8,0.8,1.0,421.0
0,0,0,0.0,0.0,0.2,0.2,413.0
4,0,4,0.8,0.0,1.0,0.2,412.0
20,4,0,0.0,0.8,0.2,1.0,241.0
24,4,4,0.8,0.8,1.0,1.0,232.0
