patch_id,row,col,x_min,y_min,x_max,y_max,overlap_count
17,3,2,0.4,0.6,0.6,0.8,902.0
18,3,3,0.6,0.6,0.8,0.8,868.0
16,3,1,0.2,0.6,0.4,0.8,854.0
12,2,2,0.4,0.4,0.6,0.6,846.0
13,2,3,0.6,0.4,0.8,0.6,811.0
11,2,1,0.2,0.4,0.4,0.6,791.0
7,1,2,0.4,0.2,0.6,0.4,756.0
22,4,2,0.4,0.8,0.6,1.0,732.0
8,1,3,0.6,0.2,0.8,0.4,727.0
6,1,1,0.2,0.2,0.4,0.4,716.0
23,4,3,0.6,0.8,0.8,1.0,715.0
21,4,1,0.2,0.8,0.4,1.0,707.0
19,3,4,0.8,0.6,1.0,0.8,628.0
14,2,4,0.8,0.4,1.0,0.6,608.0
15,3,0,0.0,0.6,0.2,0.8,582.0
24,4,4,0.8,0.8,1.0,1.0,554.0
9,1,4,0.8,0.2,1.0,0.4,554.0
2,0,2,0.4,0.0,0.6,0.2,553.0
10,2,0,0.0,0.4,0.2,0.6,551.0
3,0,3,0.6,0.0,0.8,0.2,547.0
1,0,1,0.2,0.0,0.4,0.2,531.0
5,1,0,0.0,0.2,0.2,0.4,510.0
20,4,0,0.0,0.8,0.2,1.0,503.0
4,0,4,0.8,0.0,1.0,0.2,439.0
0,0,0,0.0,0.0,0.2,0.2,425.0
