patch_id,row,col,x_min,y_min,x_max,y_max,overlap_count
12,2,2,0.4,0.4,0.6,0.6,1243.0
11,2,1,0.2,0.4,0.4,0.6,1190.0
13,2,3,0.6,0.4,0.8,0.6,1190.0
7,1,2,0.4,0.2,0.6,0.4,1147.0
17,3,2,0.4,0.6,0.6,0.8,1146.0
6,1,1,0.2,0.2,0.4,0.4,1103.0
8,1,3,0.6,0.2,0.8,0.4,1101.0
16,3,1,0.2,0.6,0.4,0.8,1101.0
18,3,3,0.6,0.6,0.8,0.8,1101.0
14,2,4,0.8,0.4,1.0,0.6,828.0
10,2,0,0.0,0.4,0.2,0.6,810.0
9,1,4,0.8,0.2,1.0,0.4,786.0
19,3,4,0.8,0.6,1.0,0.8,784.0
5,1,0,0.0,0.2,0.2,0.4,766.0
15,3,0,0.0,0.6,0.2,0.8,761.0
22,4,2,0.4,0.8,0.6,1.0,649.0
23,4,3,0.6,0.8,0.8,1.0,638.0
21,4,1,0.2,0.8,0.4,1.0,635.0
2,0,2,0.4,0.0,0.6,0.2,631.0
3,0,3,0.6,0.0,0.8,0.2,613.0
1,0,1,0.2,0.0,0.4,0.2,606.0
24,4,4,0.8,0.8,1.0,1.0,507.0
20,4,0,0.0,0.8,0.2,1.0,485.0
4,0,4,0.8,0.0,1.0,0.2,480.0
0,0,0,0.0,0.0,0.2,0.2,470.0
