patch_id,row,col,x_min,y_min,x_max,y_max,overlap_count
12,2,2,0.4,0.4,0.6,0.6,1246.0
7,1,2,0.4,0.2,0.6,0.4,1196.0
11,2,1,0.2,0.4,0.4,0.6,1167.0
17,3,2,0.4,0.6,0.6,0.8,1158.0
13,2,3,0.6,0.4,0.8,0.6,1153.0
6,1,1,0.2,0.2,0.4,0.4,1128.0
8,1,3,0.6,0.2,0.8,0.4,1107.0
16,3,1,0.2,0.6,0.4,0.8,1093.0
18,3,3,0.6,0.6,0.8,0.8,1085.0
2,0,2,0.4,0.0,0.6,0.2,695.0
22,4,2,0.4,0.8,0.6,1.0,692.0
1,0,1,0.2,0.0,0.4,0.2,676.0
23,4,3,0.6,0.8,0.8,1.0,670.0
10,2,0,0.0,0.4,0.2,0.6,668.0
21,4,1,0.2,0.8,0.4,1.0,662.0
5,1,0,0.0,0.2,0.2,0.4,656.0
3,0,3,0.6,0.0,0.8,0.2,653.0
14,2,4,0.8,0.4,1.0,0.6,647.0
15,3,0,0.0,0.6,0.2,0.8,638.0
19,3,4,0.8,0.6,1.0,0.8,625.0
9,1,4,0.8,0.2,1.0,0.4,623.0
20,4,0,0.0,0.8,0.2,1.0,458.0
24,4,4,0.8,0.8,1.0,1.0,453.0
0,0,0,0.0,0.0,0.2,0.2,451.0
4,0,4,0.8,0.0,1.0,0.2,425.0
