patch_id,row,col,x_min,y_min,x_max,y_max,overlap_count
17,3,2,0.4,0.6,0.6,0.8,1187.0
12,2,2,0.4,0.4,0.6,0.6,1147.0
16,3,1,0.2,0.6,0.4,0.8,1067.0
18,3,3,0.6,0.6,0.8,0.8,1046.0
11,2,1,0.2,0.4,0.4,0.6,1027.0
13,2,3,0.6,0.4,0.8,0.6,1011.0
22,4,2,0.4,0.8,0.6,1.0,946.0
7,1,2,0.4,0.2,0.6,0.4,872.0
21,4,1,0.2,0.8,0.4,1.0,867.0
23,4,3,0.6,0.8,0.8,1.0,855.0
6,1,1,0.2,0.2,0.4,0.4,788.0
8,1,3,0.6,0.2,0.8,0.4,773.0
15,3,0,0.0,0.6,0.2,0.8,652.0
19,3,4,0.8,0.6,1.0,0.8,650.0
14,2,4,0.8,0.4,1.0,0.6,635.0
10,2,0,0.0,0.4,0.2,0.6,633.0
24,4,4,0.8,0.8,1.0,1.0,585.0
20,4,0,0.0,0.8,0.2,1.0,567.0
9,1,4,0.8,0.2,1.0,0.4,525.0
5,1,0,0.0,0.2,0.2,0.4,520.0
2,0,2,0.4,0.0,0.6,0.2,396.0
3,0,3,0.6,0.0,0.8,0.2,370.0
1,0,1,0.2,0.0,0.4,0.2,368.0
0,0,0,0.0,0.0,0.2,0.2,304.0
4,0,4,0.8,0.0,1.0,0.2,299.0
