patch_id,row,col,x_min,y_min,x_max,y_max,overlap_count
17,3,2,0.4,0.6,0.6,0.8,1074.0
16,3,1,0.2,0.6,0.4,0.8,1005.0
12,2,2,0.4,0.4,0.6,0.6,977.0
18,3,3,0.6,0.6,0.8,0.8,946.0
11,2,1,0.2,0.4,0.4,0.6,912.0
13,2,3,0.6,0.4,0.8,0.6,880.0
22,4,2,0.4,0.8,0.6,1.0,833.0
21,4,1,0.2,0.8,0.4,1.0,783.0
23,4,3,0.6,0.8,0.8,1.0,730.0
7,1,2,0.4,0.2,0.6,0.4,689.0
6,1,1,0.2,0.2,0.4,0.4,641.0
8,1,3,0.6,0.2,0.8,0.4,636.0
15,3,0,0.0,0.6,0.2,0.8,612.0
19,3,4,0.8,0.6,1.0,0.8,575.0
10,2,0,0.0,0.4,0.2,0.6,566.0
14,2,4,0.8,0.4,1.0,0.6,555.0
20,4,0,0.0,0.8,0.2,1.0,489.0
24,4,4,0.8,0.8,1.0,1.0,465.0
5,1,0,0.0,0.2,0.2,0.4,433.0
9,1,4,0.8,0.2,1.0,0.4,428.0
2,0,2,0.4,0.0,0.6,0.2,344.0
1,0,1,0.2,0.0,0.4,0.2,328.0
3,0,3,0.6,0.0,0.8,0.2,326.0
0,0,0,0.0,0.0,0.2,0.2,246.0
4,0,4,0.8,0.0,1.0,0.2,245.0
