patch_id,row,col,x_min,y_min,x_max,y_max,overlap_count
12,2,2,0.4,0.4,0.6,0.6,1297.0
7,1,2,0.4,0.2,0.6,0.4,1276.0
11,2,1,0.2,0.4,0.4,0.6,1269.0
13,2,3,0.6,0.4,0.8,0.6,1263.0
17,3,2,0.4,0.6,0.6,0.8,1259.0
6,1,1,0.2,0.2,0.4,0.4,1249.0
8,1,3,0.6,0.2,0.8,0.4,1243.0
16,3,1,0.2,0.6,0.4,0.8,1236.0
18,3,3,0.6,0.6,0.8,0.8,1229.0
2,0,2,0.4,0.0,0.6,0.2,970.0
3,0,3,0.6,0.0,0.8,0.2,955.0
1,0,1,0.2,0.0,0.4,0.2,950.0
10,2,0,0.0,0.4,0.2,0.6,934.0
5,1,0,0.0,0.2,0.2,0.4,924.0
15,3,0,0.0,0.6,0.2,0.8,919.0
14,2,4,0.8,0.4,1.0,0.6,913.0
9,1,4,0.8,0.2,1.0,0.4,905.0
19,3,4,0.8,0.6,1.0,0.8,892.0
22,4,2,0.4,0.8,0.6,1.0,890.0
21,4,1,0.2,0.8,0.4,1.0,876.0
23,4,3,0.6,0.8,0.8,1.0,875.0
0,0,0,0.0,0.0,0.2,0.2,752.0
4,0,4,0.8,0.0,1.0,0.2,746.0
20,4,0,0.0,0.8,0.2,1.0,711.0
24,4,4,0.8,0.8,1.0,1.0,709.0
