patch_id,row,col,x_min,y_min,x_max,y_max,overlap_count
12,2,2,0.4,0.4,0.6,0.6,1120.0
13,2,3,0.6,0.4,0.8,0.6,1073.0
7,1,2,0.4,0.2,0.6,0.4,1063.0
11,2,1,0.2,0.4,0.4,0.6,1059.0
17,3,2,0.4,0.6,0.6,0.8,1029.0
8,1,3,0.6,0.2,0.8,0.4,1018.0
6,1,1,0.2,0.2,0.4,0.4,996.0
18,3,3,0.6,0.6,0.8,0.8,983.0
16,3,1,0.2,0.6,0.4,0.8,978.0
14,2,4,0.8,0.4,1.0,0.6,833.0
10,2,0,0.0,0.4,0.2,0.6,819.0
22,4,2,0.4,0.8,0.6,1.0,788.0
9,1,4,0.8,0.2,1.0,0.4,777.0
19,3,4,0.8,0.6,1.0,0.8,777.0
15,3,0,0.0,0.6,0.2,0.8,765.0
21,4,1,0.2,0.8,0.4,1.0,759.0
23,4,3,0.6,0.8,0.8,1.0,757.0
5,1,0,0.0,0.2,0.2,0.4,752.0
2,0,2,0.4,0.0,0.6,0.2,716.0
3,0,3,0.6,0.0,0.8,0.2,690.0
1,0,1,0.2,0.0,0.4,0.2,673.0
24,4,4,0.8,0.8,1.0,1.0,617.0
20,4,0,0.0,0.8,0.2,1.0,614.0
4,0,4,0.8,0.0,1.0,0.2,519.0
0,0,0,0.0,0.0,0.2,0.2,504.0
