patch_id,row,col,x_min,y_min,x_max,y_max,overlap_count
12,2,2,0.4,0.4,0.6,0.6,1202.0
13,2,3,0.6,0.4,0.8,0.6,1141.0
7,1,2,0.4,0.2,0.6,0.4,1141.0
17,3,2,0.4,0.6,0.6,0.8,1135.0
11,2,1,0.2,0.4,0.4,0.6,1132.0
8,1,3,0.6,0.2,0.8,0.4,1088.0
6,1,1,0.2,0.2,0.4,0.4,1085.0
18,3,3,0.6,0.6,0.8,0.8,1082.0
16,3,1,0.2,0.6,0.4,0.8,1066.0
14,2,4,0.8,0.4,1.0,0.6,872.0
10,2,0,0.0,0.4,0.2,0.6,848.0
2,0,2,0.4,0.0,0.6,0.2,843.0
19,3,4,0.8,0.6,1.0,0.8,835.0
9,1,4,0.8,0.2,1.0,0.4,828.0
3,0,3,0.6,0.0,0.8,0.2,818.0
5,1,0,0.0,0.2,0.2,0.4,818.0
1,0,1,0.2,0.0,0.4,0.2,814.0
15,3,0,0.0,0.6,0.2,0.8,811.0
22,4,2,0.4,0.8,0.6,1.0,795.0
23,4,3,0.6,0.8,0.8,1.0,771.0
21,4,1,0.2,0.8,0.4,1.0,767.0
4,0,4,0.8,0.0,1.0,0.2,649.0
0,0,0,0.0,0.0,0.2,0.2,641.0
24,4,4,0.8,0.8,1.0,1.0,632.0
20,4,0,0.0,0.8,0.2,1.0,625.0
