patch_id,row,col,x_min,y_min,x_max,y_max,overlap_count
12,2,2,0.4,0.4,0.6,0.6,1207.0
13,2,3,0.6,0.4,0.8,0.6,1195.0
11,2,1,0.2,0.4,0.4,0.6,1188.0
7,1,2,0.4,0.2,0.6,0.4,1180.0
8,1,3,0.6,0.2,0.8,0.4,1168.0
6,1,1,0.2,0.2,0.4,0.4,1159.0
17,3,2,0.4,0.6,0.6,0.8,1153.0
18,3,3,0.6,0.6,0.8,0.8,1139.0
16,3,1,0.2,0.6,0.4,0.8,1134.0
14,2,4,0.8,0.4,1.0,0.6,1100.0
10,2,0,0.0,0.4,0.2,0.6,1079.0
9,1,4,0.8,0.2,1.0,0.4,1070.0
5,1,0,0.0,0.2,0.2,0.4,1056.0
19,3,4,0.8,0.6,1.0,0.8,1049.0
15,3,0,0.0,0.6,0.2,0.8,1038.0
2,0,2,0.4,0.0,0.6,0.2,967.0
3,0,3,0.6,0.0,0.8,0.2,956.0
1,0,1,0.2,0.0,0.4,0.2,956.0
22,4,2,0.4,0.8,0.6,1.0,917.0
23,4,3,0.6,0.8,0.8,1.0,904.0
21,4,1,0.2,0.8,0.4,1.0,904.0
4,0,4,0.8,0.0,1.0,0.2,879.0
0,0,0,0.0,0.0,0.2,0.2,875.0
24,4,4,0.8,0.8,1.0,1.0,840.0
20,4,0,0.0,0.8,0.2,1.0,836.0
