patch_id,row,col,x_min,y_min,x_max,y_max,overlap_count
12,2,2,0.4,0.4,0.6,0.6,1233.0
11,2,1,0.2,0.4,0.4,0.6,1171.0
17,3,2,0.4,0.6,0.6,0.8,1163.0
13,2,3,0.6,0.4,0.8,0.6,1160.0
7,1,2,0.4,0.2,0.6,0.4,1146.0
16,3,1,0.2,0.6,0.4,0.8,1124.0
18,3,3,0.6,0.6,0.8,0.8,1104.0
6,1,1,0.2,0.2,0.4,0.4,1101.0
8,1,3,0.6,0.2,0.8,0.4,1087.0
10,2,0,0.0,0.4,0.2,0.6,797.0
15,3,0,0.0,0.6,0.2,0.8,784.0
14,2,4,0.8,0.4,1.0,0.6,770.0
5,1,0,0.0,0.2,0.2,0.4,762.0
19,3,4,0.8,0.6,1.0,0.8,745.0
9,1,4,0.8,0.2,1.0,0.4,731.0
22,4,2,0.4,0.8,0.6,1.0,655.0
21,4,1,0.2,0.8,0.4,1.0,642.0
23,4,3,0.6,0.8,0.8,1.0,640.0
2,0,2,0.4,0.0,0.6,0.2,623.0
1,0,1,0.2,0.0,0.4,0.2,610.0
3,0,3,0.6,0.0,0.8,0.2,605.0
20,4,0,0.0,0.8,0.2,1.0,502.0
24,4,4,0.8,0.8,1.0,1.0,498.0
0,0,0,0.0,0.0,0.2,0.2,469.0
4,0,4,0.8,0.0,1.0,0.2,463.0
