patch_id,row,col,x_min,y_min,x_max,y_max,overlap_count
12,2,2,0.4,0.4,0.6,0.6,1189.0
13,2,3,0.6,0.4,0.8,0.6,1126.0
7,1,2,0.4,0.2,0.6,0.4,1111.0
11,2,1,0.2,0.4,0.4,0.6,1090.0
17,3,2,0.4,0.6,0.6,0.8,1065.0
8,1,3,0.6,0.2,0.8,0.4,1052.0
6,1,1,0.2,0.2,0.4,0.4,1031.0
18,3,3,0.6,0.6,0.8,0.8,1022.0
16,3,1,0.2,0.6,0.4,0.8,983.0
14,2,4,0.8,0.4,1.0,0.6,823.0
9,1,4,0.8,0.2,1.0,0.4,769.0
19,3,4,0.8,0.6,1.0,0.8,759.0
22,4,2,0.4,0.8,0.6,1.0,735.0
23,4,3,0.6,0.8,0.8,1.0,712.0
21,4,1,0.2,0.8,0.4,1.0,691.0
10,2,0,0.0,0.4,0.2,0.6,679.0
5,1,0,0.0,0.2,0.2,0.4,649.0
15,3,0,0.0,0.6,0.2,0.8,625.0
2,0,2,0.4,0.0,0.6,0.2,616.0
3,0,3,0.6,0.0,0.8,0.2,585.0
1,0,1,0.2,0.0,0.4,0.2,578.0
24,4,4,0.8,0.8,1.0,1.0,541.0
20,4,0,0.0,0.8,0.2,1.0,453.0
4,0,4,0.8,0.0,1.0,0.2,437.0
0,0,0,0.0,0.0,0.2,0.2,382.0
