patch_id,row,col,x_min,y_min,x_max,y_max,overlap_count
12,2,2,0.4,0.4,0.6,0.6,1266.0
7,1,2,0.4,0.2,0.6,0.4,1223.0
11,2,1,0.2,0.4,0.4,0.6,1164.0
13,2,3,0.6,0.4,0.8,0.6,1132.0
6,1,1,0.2,0.2,0.4,0.4,1127.0
17,3,2,0.4,0.6,0.6,0.8,1109.0
8,1,3,0.6,0.2,0.8,0.4,1095.0
16,3,1,0.2,0.6,0.4,0.8,1025.0
18,3,3,0.6,0.6,0.8,0.8,1020.0
2,0,2,0.4,0.0,0.6,0.2,666.0
1,0,1,0.2,0.0,0.4,0.2,625.0
3,0,3,0.6,0.0,0.8,0.2,612.0
22,4,2,0.4,0.8,0.6,1.0,458.0
10,2,0,0.0,0.4,0.2,0.6,447.0
14,2,4,0.8,0.4,1.0,0.6,447.0
5,1,0,0.0,0.2,0.2,0.4,436.0
21,4,1,0.2,0.8,0.4,1.0,436.0
23,4,3,0.6,0.8,0.8,1.0,434.0
9,1,4,0.8,0.2,1.0,0.4,433.0
15,3,0,0.0,0.6,0.2,0.8,416.0
19,3,4,0.8,0.6,1.0,0.8,415.0
0,0,0,0.0,0.0,0.2,0.2,275.0
4,0,4,0.8,0.0,1.0,0.2,263.0
24,4,4,0.8,0.8,1.0,1.0,224.0
20,4,0,0.0,0.8,0.2,1.0,213.0
