patch_id,row,col,x_min,y_min,x_max,y_max,overlap_count
12,2,2,0.4,0.4,0.6,0.6,1087.0
17,3,2,0.4,0.6,0.6,0.8,1082.0
11,2,1,0.2,0.4,0.4,0.6,1040.0
13,2,3,0.6,0.4,0.8,0.6,1039.0
18,3,3,0.6,0.6,0.8,0.8,1031.0
16,3,1,0.2,0.6,0.4,0.8,1030.0
7,1,2,0.4,0.2,0.6,0.4,949.0
8,1,3,0.6,0.2,0.8,0.4,914.0
6,1,1,0.2,0.2,0.4,0.4,910.0
22,4,2,0.4,0.8,0.6,1.0,876.0
21,4,1,0.2,0.8,0.4,1.0,850.0
23,4,3,0.6,0.8,0.8,1.0,834.0
10,2,0,0.0,0.4,0.2,0.6,826.0
15,3,0,0.0,0.6,0.2,0.8,818.0
14,2,4,0.8,0.4,1.0,0.6,812.0
19,3,4,0.8,0.6,1.0,0.8,810.0
5,1,0,0.0,0.2,0.2,0.4,749.0
9,1,4,0.8,0.2,1.0,0.4,741.0
20,4,0,0.0,0.8,0.2,1.0,687.0
24,4,4,0.8,0.8,1.0,1.0,680.0
2,0,2,0.4,0.0,0.6,0.2,668.0
1,0,1,0.2,0.0,0.4,0.2,659.0
3,0,3,0.6,0.0,0.8,0.2,645.0
0,0,0,0.0,0.0,0.2,0.2,566.0
4,0,4,0.8,0.0,1.0,0.2,550.0
