patch_id,row,col,x_min,y_min,x_max,y_max,overlap_count
12,2,2,0.4,0.4,0.6,0.6,1277.0
17,3,2,0.4,0.6,0.6,0.8,1261.0
7,1,2,0.4,0.2,0.6,0.4,1223.0
13,2,3,0.6,0.4,0.8,0.6,1193.0
11,2,1,0.2,0.4,0.4,0.6,1191.0
18,3,3,0.6,0.6,0.8,0.8,1180.0
16,3,1,0.2,0.6,0.4,0.8,1178.0
8,1,3,0.6,0.2,0.8,0.4,1150.0
6,1,1,0.2,0.2,0.4,0.4,1146.0
22,4,2,0.4,0.8,0.6,1.0,939.0
21,4,1,0.2,0.8,0.4,1.0,890.0
23,4,3,0.6,0.8,0.8,1.0,887.0
2,0,2,0.4,0.0,0.6,0.2,801.0
1,0,1,0.2,0.0,0.4,0.2,772.0
3,0,3,0.6,0.0,0.8,0.2,760.0
10,2,0,0.0,0.4,0.2,0.6,699.0
15,3,0,0.0,0.6,0.2,0.8,691.0
5,1,0,0.0,0.2,0.2,0.4,676.0
14,2,4,0.8,0.4,1.0,0.6,644.0
19,3,4,0.8,0.6,1.0,0.8,637.0
9,1,4,0.8,0.2,1.0,0.4,627.0
20,4,0,0.0,0.8,0.2,1.0,541.0
0,0,0,0.0,0.0,0.2,0.2,501.0
24,4,4,0.8,0.8,1.0,1.0,493.0
4,0,4,0.8,0.0,1.0,0.2,438.0
