patch_id,row,col,x_min,y_min,x_max,y_max,overlap_count,total_images_processed,total_regions
12,2,2,0.4,0.4,0.6,0.6,1037.0,1300,1300
17,3,2,0.4,0.6,0.6,0.8,1012.0,1300,1300
11,2,1,0.2,0.4,0.4,0.6,990.0,1300,1300
13,2,3,0.6,0.4,0.8,0.6,988.0,1300,1300
16,3,1,0.2,0.6,0.4,0.8,971.0,1300,1300
18,3,3,0.6,0.6,0.8,0.8,960.0,1300,1300
7,1,2,0.4,0.2,0.6,0.4,913.0,1300,1300
8,1,3,0.6,0.2,0.8,0.4,877.0,1300,1300
6,1,1,0.2,0.2,0.4,0.4,871.0,1300,1300
14,2,4,0.8,0.4,1.0,0.6,828.0,1300,1300
10,2,0,0.0,0.4,0.2,0.6,821.0,1300,1300
15,3,0,0.0,0.6,0.2,0.8,810.0,1300,1300
19,3,4,0.8,0.6,1.0,0.8,800.0,1300,1300
22,4,2,0.4,0.8,0.6,1.0,784.0,1300,1300
21,4,1,0.2,0.8,0.4,1.0,754.0,1300,1300
23,4,3,0.6,0.8,0.8,1.0,753.0,1300,1300
9,1,4,0.8,0.2,1.0,0.4,744.0,1300,1300
5,1,0,0.0,0.2,0.2,0.4,734.0,1300,1300
20,4,0,0.0,0.8,0.2,1.0,650.0,1300,1300
24,4,4,0.8,0.8,1.0,1.0,650.0,1300,1300
2,0,2,0.4,0.0,0.6,0.2,579.0,1300,1300
3,0,3,0.6,0.0,0.8,0.2,555.0,1300,1300
1,0,1,0.2,0.0,0.4,0.2,551.0,1300,1300
0,0,0,0.0,0.0,0.2,0.2,485.0,1300,1300
4,0,4,0.8,0.0,1.0,0.2,482.0,1300,1300
