patch_id,row,col,x_min,y_min,x_max,y_max,overlap_count
17,3,2,0.4,0.6,0.6,0.8,1208.0
12,2,2,0.4,0.4,0.6,0.6,1197.0
16,3,1,0.2,0.6,0.4,0.8,1149.0
11,2,1,0.2,0.4,0.4,0.6,1143.0
18,3,3,0.6,0.6,0.8,0.8,1132.0
13,2,3,0.6,0.4,0.8,0.6,1130.0
22,4,2,0.4,0.8,0.6,1.0,1118.0
7,1,2,0.4,0.2,0.6,0.4,1083.0
21,4,1,0.2,0.8,0.4,1.0,1059.0
23,4,3,0.6,0.8,0.8,1.0,1059.0
6,1,1,0.2,0.2,0.4,0.4,1033.0
8,1,3,0.6,0.2,0.8,0.4,1030.0
2,0,2,0.4,0.0,0.6,0.2,895.0
1,0,1,0.2,0.0,0.4,0.2,859.0
3,0,3,0.6,0.0,0.8,0.2,859.0
14,2,4,0.8,0.4,1.0,0.6,804.0
19,3,4,0.8,0.6,1.0,0.8,795.0
10,2,0,0.0,0.4,0.2,0.6,789.0
15,3,0,0.0,0.6,0.2,0.8,787.0
9,1,4,0.8,0.2,1.0,0.4,757.0
24,4,4,0.8,0.8,1.0,1.0,754.0
5,1,0,0.0,0.2,0.2,0.4,743.0
20,4,0,0.0,0.8,0.2,1.0,743.0
4,0,4,0.8,0.0,1.0,0.2,659.0
0,0,0,0.0,0.0,0.2,0.2,630.0
