patch_id,row,col,x_min,y_min,x_max,y_max,overlap_count,total_images_processed,total_regions
7,1,2,0.4,0.2,0.6,0.4,1120.0,1300,1300
12,2,2,0.4,0.4,0.6,0.6,1113.0,1300,1300
8,1,3,0.6,0.2,0.8,0.4,1071.0,1300,1300
13,2,3,0.6,0.4,0.8,0.6,1065.0,1300,1300
6,1,1,0.2,0.2,0.4,0.4,1041.0,1300,1300
11,2,1,0.2,0.4,0.4,0.6,1035.0,1300,1300
2,0,2,0.4,0.0,0.6,0.2,965.0,1300,1300
17,3,2,0.4,0.6,0.6,0.8,961.0,1300,1300
18,3,3,0.6,0.6,0.8,0.8,930.0,1300,1300
3,0,3,0.6,0.0,0.8,0.2,922.0,1300,1300
14,2,4,0.8,0.4,1.0,0.6,914.0,1300,1300
9,1,4,0.8,0.2,1.0,0.4,908.0,1300,1300
16,3,1,0.2,0.6,0.4,0.8,900.0,1300,1300
1,0,1,0.2,0.0,0.4,0.2,897.0,1300,1300
5,1,0,0.0,0.2,0.2,0.4,873.0,1300,1300
10,2,0,0.0,0.4,0.2,0.6,870.0,1300,1300
19,3,4,0.8,0.6,1.0,0.8,814.0,1300,1300
4,0,4,0.8,0.0,1.0,0.2,793.0,1300,1300
15,3,0,0.0,0.6,0.2,0.8,770.0,1300,1300
0,0,0,0.0,0.0,0.2,0.2,753.0,1300,1300
22,4,2,0.4,0.8,0.6,1.0,602.0,1300,1300
23,4,3,0.6,0.8,0.8,1.0,590.0,1300,1300
21,4,1,0.2,0.8,0.4,1.0,574.0,1300,1300
24,4,4,0.8,0.8,1.0,1.0,540.0,1300,1300
20,4,0,0.0,0.8,0.2,1.0,514.0,1300,1300
