patch_id,row,col,x_min,y_min,x_max,y_max,overlap_count,total_images_processed,total_regions
12,2,2,0.4,0.4,0.6,0.6,948.0,1300,1300
7,1,2,0.4,0.2,0.6,0.4,881.0,1300,1300
17,3,2,0.4,0.6,0.6,0.8,865.0,1300,1300
13,2,3,0.6,0.4,0.8,0.6,852.0,1300,1300
11,2,1,0.2,0.4,0.4,0.6,851.0,1300,1300
6,1,1,0.2,0.2,0.4,0.4,801.0,1300,1300
8,1,3,0.6,0.2,0.8,0.4,798.0,1300,1300
18,3,3,0.6,0.6,0.8,0.8,782.0,1300,1300
16,3,1,0.2,0.6,0.4,0.8,774.0,1300,1300
2,0,2,0.4,0.0,0.6,0.2,564.0,1300,1300
22,4,2,0.4,0.8,0.6,1.0,548.0,1300,1300
1,0,1,0.2,0.0,0.4,0.2,533.0,1300,1300
3,0,3,0.6,0.0,0.8,0.2,526.0,1300,1300
23,4,3,0.6,0.8,0.8,1.0,511.0,1300,1300
21,4,1,0.2,0.8,0.4,1.0,504.0,1300,1300
10,2,0,0.0,0.4,0.2,0.6,503.0,1300,1300
14,2,4,0.8,0.4,1.0,0.6,499.0,1300,1300
5,1,0,0.0,0.2,0.2,0.4,492.0,1300,1300
19,3,4,0.8,0.6,1.0,0.8,476.0,1300,1300
15,3,0,0.0,0.6,0.2,0.8,473.0,1300,1300
9,1,4,0.8,0.2,1.0,0.4,467.0,1300,1300
24,4,4,0.8,0.8,1.0,1.0,360.0,1300,1300
0,0,0,0.0,0.0,0.2,0.2,357.0,1300,1300
20,4,0,0.0,0.8,0.2,1.0,344.0,1300,1300
4,0,4,0.8,0.0,1.0,0.2,342.0,1300,1300
