patch_id,row,col,x_min,y_min,x_max,y_max,overlap_count,total_images_processed,total_regions
12,2,2,0.4,0.4,0.6,0.6,1280.0,1300,1300
17,3,2,0.4,0.6,0.6,0.8,1275.0,1300,1300
11,2,1,0.2,0.4,0.4,0.6,1257.0,1300,1300
16,3,1,0.2,0.6,0.4,0.8,1254.0,1300,1300
13,2,3,0.6,0.4,0.8,0.6,1251.0,1300,1300
18,3,3,0.6,0.6,0.8,0.8,1247.0,1300,1300
7,1,2,0.4,0.2,0.6,0.4,1192.0,1300,1300
6,1,1,0.2,0.2,0.4,0.4,1175.0,1300,1300
8,1,3,0.6,0.2,0.8,0.4,1169.0,1300,1300
14,2,4,0.8,0.4,1.0,0.6,1074.0,1300,1300
19,3,4,0.8,0.6,1.0,0.8,1071.0,1300,1300
15,3,0,0.0,0.6,0.2,0.8,1044.0,1300,1300
10,2,0,0.0,0.4,0.2,0.6,1042.0,1300,1300
22,4,2,0.4,0.8,0.6,1.0,1017.0,1300,1300
9,1,4,0.8,0.2,1.0,0.4,1015.0,1300,1300
21,4,1,0.2,0.8,0.4,1.0,1006.0,1300,1300
23,4,3,0.6,0.8,0.8,1.0,997.0,1300,1300
5,1,0,0.0,0.2,0.2,0.4,987.0,1300,1300
24,4,4,0.8,0.8,1.0,1.0,887.0,1300,1300
20,4,0,0.0,0.8,0.2,1.0,877.0,1300,1300
2,0,2,0.4,0.0,0.6,0.2,424.0,1300,1300
1,0,1,0.2,0.0,0.4,0.2,421.0,1300,1300
3,0,3,0.6,0.0,0.8,0.2,420.0,1300,1300
4,0,4,0.8,0.0,1.0,0.2,391.0,1300,1300
0,0,0,0.0,0.0,0.2,0.2,378.0,1300,1300
