patch_id,row,col,x_min,y_min,x_max,y_max,overlap_count,total_images_processed,total_regions
12,2,2,0.4,0.4,0.6,0.6,1248.0,1300,1300
7,1,2,0.4,0.2,0.6,0.4,1184.0,1300,1300
11,2,1,0.2,0.4,0.4,0.6,1172.0,1300,1300
13,2,3,0.6,0.4,0.8,0.6,1163.0,1300,1300
17,3,2,0.4,0.6,0.6,0.8,1130.0,1300,1300
6,1,1,0.2,0.2,0.4,0.4,1118.0,1300,1300
8,1,3,0.6,0.2,0.8,0.4,1109.0,1300,1300
16,3,1,0.2,0.6,0.4,0.8,1067.0,1300,1300
18,3,3,0.6,0.6,0.8,0.8,1057.0,1300,1300
10,2,0,0.0,0.4,0.2,0.6,694.0,1300,1300
14,2,4,0.8,0.4,1.0,0.6,673.0,1300,1300
5,1,0,0.0,0.2,0.2,0.4,668.0,1300,1300
9,1,4,0.8,0.2,1.0,0.4,651.0,1300,1300
15,3,0,0.0,0.6,0.2,0.8,647.0,1300,1300
2,0,2,0.4,0.0,0.6,0.2,626.0,1300,1300
19,3,4,0.8,0.6,1.0,0.8,611.0,1300,1300
3,0,3,0.6,0.0,0.8,0.2,602.0,1300,1300
1,0,1,0.2,0.0,0.4,0.2,597.0,1300,1300
22,4,2,0.4,0.8,0.6,1.0,488.0,1300,1300
21,4,1,0.2,0.8,0.4,1.0,467.0,1300,1300
23,4,3,0.6,0.8,0.8,1.0,455.0,1300,1300
4,0,4,0.8,0.0,1.0,0.2,404.0,1300,1300
0,0,0,0.0,0.0,0.2,0.2,402.0,1300,1300
20,4,0,0.0,0.8,0.2,1.0,322.0,1300,1300
24,4,4,0.8,0.8,1.0,1.0,295.0,1300,1300
