patch_id,row,col,x_min,y_min,x_max,y_max,overlap_count
12,2,2,0.4,0.4,0.6,0.6,1263.0
7,1,2,0.4,0.2,0.6,0.4,1221.0
13,2,3,0.6,0.4,0.8,0.6,1203.0
11,2,1,0.2,0.4,0.4,0.6,1201.0
17,3,2,0.4,0.6,0.6,0.8,1199.0
8,1,3,0.6,0.2,0.8,0.4,1166.0
6,1,1,0.2,0.2,0.4,0.4,1166.0
18,3,3,0.6,0.6,0.8,0.8,1151.0
16,3,1,0.2,0.6,0.4,0.8,1148.0
22,4,2,0.4,0.8,0.6,1.0,791.0
21,4,1,0.2,0.8,0.4,1.0,769.0
23,4,3,0.6,0.8,0.8,1.0,766.0
2,0,2,0.4,0.0,0.6,0.2,754.0
14,2,4,0.8,0.4,1.0,0.6,742.0
10,2,0,0.0,0.4,0.2,0.6,738.0
1,0,1,0.2,0.0,0.4,0.2,731.0
3,0,3,0.6,0.0,0.8,0.2,727.0
5,1,0,0.0,0.2,0.2,0.4,724.0
9,1,4,0.8,0.2,1.0,0.4,722.0
15,3,0,0.0,0.6,0.2,0.8,722.0
19,3,4,0.8,0.6,1.0,0.8,716.0
24,4,4,0.8,0.8,1.0,1.0,541.0
20,4,0,0.0,0.8,0.2,1.0,519.0
0,0,0,0.0,0.0,0.2,0.2,509.0
4,0,4,0.8,0.0,1.0,0.2,507.0
