patch_id,row,col,x_min,y_min,x_max,y_max,overlap_count
12,2,2,0.4,0.4,0.6,0.6,1123.0
11,2,1,0.2,0.4,0.4,0.6,1074.0
13,2,3,0.6,0.4,0.8,0.6,1074.0
17,3,2,0.4,0.6,0.6,0.8,1033.0
7,1,2,0.4,0.2,0.6,0.4,1013.0
16,3,1,0.2,0.6,0.4,0.8,994.0
18,3,3,0.6,0.6,0.8,0.8,991.0
8,1,3,0.6,0.2,0.8,0.4,979.0
6,1,1,0.2,0.2,0.4,0.4,968.0
14,2,4,0.8,0.4,1.0,0.6,862.0
10,2,0,0.0,0.4,0.2,0.6,853.0
19,3,4,0.8,0.6,1.0,0.8,815.0
15,3,0,0.0,0.6,0.2,0.8,798.0
9,1,4,0.8,0.2,1.0,0.4,795.0
5,1,0,0.0,0.2,0.2,0.4,781.0
22,4,2,0.4,0.8,0.6,1.0,689.0
21,4,1,0.2,0.8,0.4,1.0,670.0
23,4,3,0.6,0.8,0.8,1.0,666.0
2,0,2,0.4,0.0,0.6,0.2,581.0
20,4,0,0.0,0.8,0.2,1.0,574.0
3,0,3,0.6,0.0,0.8,0.2,571.0
24,4,4,0.8,0.8,1.0,1.0,570.0
1,0,1,0.2,0.0,0.4,0.2,559.0
4,0,4,0.8,0.0,1.0,0.2,478.0
0,0,0,0.0,0.0,0.2,0.2,468.0
