patch_id,row,col,x_min,y_min,x_max,y_max,overlap_count,total_images_processed,total_regions
17,3,2,0.4,0.6,0.6,0.8,1114.0,1300,1300
12,2,2,0.4,0.4,0.6,0.6,1098.0,1300,1300
16,3,1,0.2,0.6,0.4,0.8,1059.0,1300,1300
18,3,3,0.6,0.6,0.8,0.8,1054.0,1300,1300
11,2,1,0.2,0.4,0.4,0.6,1051.0,1300,1300
13,2,3,0.6,0.4,0.8,0.6,1042.0,1300,1300
7,1,2,0.4,0.2,0.6,0.4,1016.0,1300,1300
22,4,2,0.4,0.8,0.6,1.0,1009.0,1300,1300
6,1,1,0.2,0.2,0.4,0.4,978.0,1300,1300
8,1,3,0.6,0.2,0.8,0.4,965.0,1300,1300
23,4,3,0.6,0.8,0.8,1.0,959.0,1300,1300
21,4,1,0.2,0.8,0.4,1.0,951.0,1300,1300
10,2,0,0.0,0.4,0.2,0.6,903.0,1300,1300
15,3,0,0.0,0.6,0.2,0.8,902.0,1300,1300
19,3,4,0.8,0.6,1.0,0.8,887.0,1300,1300
14,2,4,0.8,0.4,1.0,0.6,884.0,1300,1300
2,0,2,0.4,0.0,0.6,0.2,865.0,1300,1300
5,1,0,0.0,0.2,0.2,0.4,846.0,1300,1300
1,0,1,0.2,0.0,0.4,0.2,836.0,1300,1300
3,0,3,0.6,0.0,0.8,0.2,826.0,1300,1300
9,1,4,0.8,0.2,1.0,0.4,824.0,1300,1300
24,4,4,0.8,0.8,1.0,1.0,810.0,1300,1300
20,4,0,0.0,0.8,0.2,1.0,805.0,1300,1300
0,0,0,0.0,0.0,0.2,0.2,732.0,1300,1300
4,0,4,0.8,0.0,1.0,0.2,714.0,1300,1300
