patch_id,row,col,x_min,y_min,x_max,y_max,overlap_count
12,2,2,0.4,0.4,0.6,0.6,1208.0
11,2,1,0.2,0.4,0.4,0.6,1111.0
13,2,3,0.6,0.4,0.8,0.6,1101.0
17,3,2,0.4,0.6,0.6,0.8,1090.0
7,1,2,0.4,0.2,0.6,0.4,1057.0
16,3,1,0.2,0.6,0.4,0.8,1020.0
18,3,3,0.6,0.6,0.8,0.8,1005.0
6,1,1,0.2,0.2,0.4,0.4,986.0
8,1,3,0.6,0.2,0.8,0.4,980.0
10,2,0,0.0,0.4,0.2,0.6,651.0
14,2,4,0.8,0.4,1.0,0.6,615.0
15,3,0,0.0,0.6,0.2,0.8,614.0
5,1,0,0.0,0.2,0.2,0.4,602.0
19,3,4,0.8,0.6,1.0,0.8,589.0
9,1,4,0.8,0.2,1.0,0.4,570.0
22,4,2,0.4,0.8,0.6,1.0,504.0
23,4,3,0.6,0.8,0.8,1.0,482.0
21,4,1,0.2,0.8,0.4,1.0,477.0
2,0,2,0.4,0.0,0.6,0.2,423.0
1,0,1,0.2,0.0,0.4,0.2,408.0
3,0,3,0.6,0.0,0.8,0.2,400.0
20,4,0,0.0,0.8,0.2,1.0,332.0
24,4,4,0.8,0.8,1.0,1.0,325.0
0,0,0,0.0,0.0,0.2,0.2,290.0
4,0,4,0.8,0.0,1.0,0.2,269.0
