patch_id,row,col,x_min,y_min,x_max,y_max,overlap_count
12,2,2,0.4,0.4,0.6,0.6,1202.0
17,3,2,0.4,0.6,0.6,0.8,1175.0
13,2,3,0.6,0.4,0.8,0.6,1139.0
11,2,1,0.2,0.4,0.4,0.6,1132.0
16,3,1,0.2,0.6,0.4,0.8,1115.0
18,3,3,0.6,0.6,0.8,0.8,1108.0
7,1,2,0.4,0.2,0.6,0.4,1084.0
8,1,3,0.6,0.2,0.8,0.4,1036.0
6,1,1,0.2,0.2,0.4,0.4,1031.0
22,4,2,0.4,0.8,0.6,1.0,807.0
14,2,4,0.8,0.4,1.0,0.6,784.0
21,4,1,0.2,0.8,0.4,1.0,782.0
23,4,3,0.6,0.8,0.8,1.0,773.0
19,3,4,0.8,0.6,1.0,0.8,772.0
10,2,0,0.0,0.4,0.2,0.6,748.0
15,3,0,0.0,0.6,0.2,0.8,741.0
9,1,4,0.8,0.2,1.0,0.4,727.0
5,1,0,0.0,0.2,0.2,0.4,702.0
2,0,2,0.4,0.0,0.6,0.2,605.0
24,4,4,0.8,0.8,1.0,1.0,596.0
1,0,1,0.2,0.0,0.4,0.2,589.0
20,4,0,0.0,0.8,0.2,1.0,588.0
3,0,3,0.6,0.0,0.8,0.2,586.0
4,0,4,0.8,0.0,1.0,0.2,464.0
0,0,0,0.0,0.0,0.2,0.2,460.0
